English,Emoji,emoji_list
big day,[EM]anxious face with sweat[EM]sun[EM],"[':anxious_face_with_sweat:', ':sun:']"
big day,[EM]man with veil[EM]woman with veil[EM]man in tuxedo[EM]woman in tuxedo[EM],"[':man_with_veil:', ':woman_with_veil:', ':man_in_tuxedo:', ':woman_in_tuxedo:']"
big day,[EM]1st place medal[EM]sun[EM],"[':1st_place_medal:', ':sun:']"
big day,[EM]face with crossed-out eyes[EM]face with crossed-out eyes[EM]face with crossed-out eyes[EM],"[':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:']"
big day,[EM]spiral calendar[EM],[':spiral_calendar:']
hot doll,[EM]hot face[EM]girl[EM],"[':hot_face:', ':girl:']"
hot doll,[EM]nesting dolls[EM]fire[EM]fire[EM],"[':nesting_dolls:', ':fire:', ':fire:']"
hot doll,[EM]nail polish[EM]woman blond hair[EM],"[':nail_polish:', ':woman_blond_hair:']"
hot doll,[EM]fire[EM]nesting dolls[EM],"[':fire:', ':nesting_dolls:']"
hot doll,[EM]keycap 1[EM]nesting dolls[EM]Japanese dolls[EM],"[':keycap_1:', ':nesting_dolls:', ':Japanese_dolls:']"
hot doll,[EM]fire[EM]teddy bear[EM],"[':fire:', ':teddy_bear:']"
hot doll,[EM]hot springs[EM]nesting dolls[EM],"[':hot_springs:', ':nesting_dolls:']"
hot doll,[EM]hot face[EM]teddy bear[EM],"[':hot_face:', ':teddy_bear:']"
hot water,[EM]hot springs[EM]sweat droplets[EM],"[':hot_springs:', ':sweat_droplets:']"
hot water,[EM]hot face[EM]potable water[EM],"[':hot_face:', ':potable_water:']"
hot water,[EM]hot springs[EM]droplet[EM],"[':hot_springs:', ':droplet:']"
hot water,[EM]fire[EM]sweat droplets[EM],"[':fire:', ':sweat_droplets:']"
hot water,[EM]hot springs[EM]droplet[EM]potable water[EM],"[':hot_springs:', ':droplet:', ':potable_water:']"
hot water,[EM]hot springs[EM]potable water[EM],"[':hot_springs:', ':potable_water:']"
hot water,[EM]hot springs[EM]droplet[EM],"[':hot_springs:', ':droplet:']"
hot water,[EM]name badge[EM]sweat droplets[EM],"[':name_badge:', ':sweat_droplets:']"
hot stove,[EM]thermometer[EM]hot springs[EM]cooking[EM],"[':thermometer:', ':hot_springs:', ':cooking:']"
hot stove,[EM]hot springs[EM]cooking[EM],"[':hot_springs:', ':cooking:']"
hot stove,[EM]hot springs[EM]control knobs[EM]fire[EM],"[':hot_springs:', ':control_knobs:', ':fire:']"
hot stove,[EM]fire[EM]cooking[EM],"[':fire:', ':cooking:']"
hot stove,[EM]hot face[EM]cooking[EM]fire[EM],"[':hot_face:', ':cooking:', ':fire:']"
hot stove,[EM]hot springs[EM]fire[EM],"[':hot_springs:', ':fire:']"
hot stove,[EM]fire[EM]hot springs[EM],"[':fire:', ':hot_springs:']"
hot stove,[EM]name badge[EM]thermometer[EM]fondue[EM],"[':name_badge:', ':thermometer:', ':fondue:']"
hot topic,[EM]fire[EM]speaker high volume[EM]speaking head[EM]speaking head[EM]thinking face[EM]thinking face[EM]thumbs up[EM]thumbs down[EM],"[':fire:', ':speaker_high_volume:', ':speaking_head:', ':speaking_head:', ':thinking_face:', ':thinking_face:', ':thumbs_up:', ':thumbs_down:']"
hot topic,[EM]star-struck[EM]speech balloon[EM],"[':star-struck:', ':speech_balloon:']"
hot topic,[EM]sun[EM]studio microphone[EM]speaking head[EM],"[':sun:', ':studio_microphone:', ':speaking_head:']"
hot topic,[EM]fire[EM]fire[EM]fire[EM]fire[EM]newspaper[EM],"[':fire:', ':fire:', ':fire:', ':fire:', ':newspaper:']"
hot topic,[EM]fire[EM]speech balloon[EM],"[':fire:', ':speech_balloon:']"
hot topic,[EM]fire[EM]speaking head[EM],"[':fire:', ':speaking_head:']"
hot topic,[EM]fire[EM]speaking head[EM],"[':fire:', ':speaking_head:']"
hot topic,[EM]hot face[EM]speech balloon[EM],"[':hot_face:', ':speech_balloon:']"
hot merchandise,[EM]fire[EM]eyes[EM]raised hand[EM]raised back of hand[EM]folded hands[EM]pleading face[EM]money bag[EM],"[':fire:', ':eyes:', ':raised_hand:', ':raised_back_of_hand:', ':folded_hands:', ':pleading_face:', ':money_bag:']"
hot merchandise,[EM]fire[EM]fire[EM]t-shirt[EM]flat shoe[EM]sunglasses[EM],"[':fire:', ':fire:', ':t-shirt:', ':flat_shoe:', ':sunglasses:']"
hot merchandise,[EM]fire[EM]wrapped gift[EM]wrapped gift[EM],"[':fire:', ':wrapped_gift:', ':wrapped_gift:']"
hot merchandise,[EM]fire[EM]label[EM],"[':fire:', ':label:']"
hot merchandise,[EM]fire[EM]shopping bags[EM]teddy bear[EM]t-shirt[EM]dress[EM]pencil[EM]notebook with decorative cover[EM],"[':fire:', ':shopping_bags:', ':teddy_bear:', ':t-shirt:', ':dress:', ':pencil:', ':notebook_with_decorative_cover:']"
hot merchandise,[EM]fire[EM]mobile phone[EM],"[':fire:', ':mobile_phone:']"
hot merchandise,[EM]left speech bubble[EM]t-shirt[EM],"[':left_speech_bubble:', ':t-shirt:']"
hot merchandise,[EM]thumbs up[EM]teddy bear[EM]t-shirt[EM],"[':thumbs_up:', ':teddy_bear:', ':t-shirt:']"
hot temper,[EM]fire[EM]neutral face[EM]pouting face[EM],"[':fire:', ':neutral_face:', ':pouting_face:']"
hot temper,[EM]face with steam from nose[EM]face with symbols on mouth[EM]man gesturing NO[EM]man gesturing NO[EM],"[':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:', ':man_gesturing_NO:', ':man_gesturing_NO:']"
hot temper,[EM]pouting face[EM]pouting face[EM],"[':pouting_face:', ':pouting_face:']"
hot temper,[EM]pouting face[EM]face with steam from nose[EM]face with symbols on mouth[EM],"[':pouting_face:', ':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:']"
hot temper,[EM]pouting face[EM]face with steam from nose[EM],"[':pouting_face:', ':face_with_steam_from_nose:']"
hot temper,[EM]fire[EM]pouting face[EM],"[':fire:', ':pouting_face:']"
hot temper,[EM]anger symbol[EM]face with symbols on mouth[EM],"[':anger_symbol:', ':face_with_symbols_on_mouth:']"
hot temper,[EM]pouting face[EM]face with symbols on mouth[EM],"[':pouting_face:', ':face_with_symbols_on_mouth:']"
hot argument,[EM]fire[EM]speaking head[EM]multiply[EM]speaking head[EM]check mark[EM]loudspeaker[EM],"[':fire:', ':speaking_head:', ':multiply:', ':speaking_head:', ':check_mark:', ':loudspeaker:']"
hot argument,[EM]person gesturing NO[EM]man gesturing NO[EM]face with steam from nose[EM]right anger bubble[EM],"[':person_gesturing_NO:', ':man_gesturing_NO:', ':face_with_steam_from_nose:', ':right_anger_bubble:']"
hot argument,[EM]pouting face[EM]face with symbols on mouth[EM]speaking head[EM],"[':pouting_face:', ':face_with_symbols_on_mouth:', ':speaking_head:']"
hot argument,[EM]face with symbols on mouth[EM]speaking head[EM]megaphone[EM],"[':face_with_symbols_on_mouth:', ':speaking_head:', ':megaphone:']"
hot argument,[EM]face with symbols on mouth[EM]speech balloon[EM]pouting face[EM],"[':face_with_symbols_on_mouth:', ':speech_balloon:', ':pouting_face:']"
hot argument,[EM]fire[EM]face with symbols on mouth[EM],"[':fire:', ':face_with_symbols_on_mouth:']"
hot argument,[EM]anger symbol[EM]speaking head[EM],"[':anger_symbol:', ':speaking_head:']"
hot argument,[EM]face with symbols on mouth[EM]speech balloon[EM],"[':face_with_symbols_on_mouth:', ':speech_balloon:']"
hot forehead,[EM]sun[EM]face with thermometer[EM]thermometer[EM]face with medical mask[EM]sleeping face[EM]cold face[EM],"[':sun:', ':face_with_thermometer:', ':thermometer:', ':face_with_medical_mask:', ':sleeping_face:', ':cold_face:']"
hot forehead,[EM]woozy face[EM]face with thermometer[EM]man health worker[EM],"[':woozy_face:', ':face_with_thermometer:', ':man_health_worker:']"
hot forehead,[EM]fire[EM]face with thermometer[EM]thermometer[EM],"[':fire:', ':face_with_thermometer:', ':thermometer:']"
hot forehead,[EM]hot face[EM]face with thermometer[EM]face with thermometer[EM],"[':hot_face:', ':face_with_thermometer:', ':face_with_thermometer:']"
hot forehead,[EM]thermometer[EM]face with thermometer[EM],"[':thermometer:', ':face_with_thermometer:']"
hot forehead,[EM]hot springs[EM]exploding head[EM],"[':hot_springs:', ':exploding_head:']"
hot forehead,[EM]stethoscope[EM]face with thermometer[EM],"[':stethoscope:', ':face_with_thermometer:']"
hot forehead,[EM]face with thermometer[EM]face with head-bandage[EM],"[':face_with_thermometer:', ':face_with_head-bandage:']"
bright future,[EM]sparkler[EM]crystal ball[EM],"[':sparkler:', ':crystal_ball:']"
bright future,[EM]bright button[EM]crystal ball[EM],"[':bright_button:', ':crystal_ball:']"
bright future,[EM]glowing star[EM]graduation cap[EM],"[':glowing_star:', ':graduation_cap:']"
bright future,[EM]smiling face with sunglasses[EM]man scientist[EM]woman health worker[EM]technologist[EM],"[':smiling_face_with_sunglasses:', ':man_scientist:', ':woman_health_worker:', ':technologist:']"
bright future,[EM]sun[EM]crystal ball[EM],"[':sun:', ':crystal_ball:']"
bright future,[EM]man scientist[EM]woman student[EM]man health worker[EM],"[':man_scientist:', ':woman_student:', ':man_health_worker:']"
bright future,[EM]sun[EM]fog[EM],"[':sun:', ':fog:']"
bright future,[EM]hourglass not done[EM]fast-forward button[EM]thumbs up[EM]thumbs up[EM],"[':hourglass_not_done:', ':fast-forward_button:', ':thumbs_up:', ':thumbs_up:']"
bright sun,[EM]sparkler[EM]sun[EM],"[':sparkler:', ':sun:']"
bright sun,[EM]bright button[EM]sun[EM],"[':bright_button:', ':sun:']"
bright sun,[EM]glowing star[EM]sun behind small cloud[EM]sunset[EM]sunrise[EM],"[':glowing_star:', ':sun_behind_small_cloud:', ':sunset:', ':sunrise:']"
bright sun,[EM]sun[EM]bright button[EM],"[':sun:', ':bright_button:']"
bright sun,[EM]sparkles[EM]sun[EM],"[':sparkles:', ':sun:']"
bright sun,[EM]sun[EM]glowing star[EM],"[':sun:', ':glowing_star:']"
bright sun,[EM]sun[EM]sun[EM],"[':sun:', ':sun:']"
bright sun,[EM]sun[EM]sun[EM],"[':sun:', ':sun:']"
bright dress,[EM]sparkler[EM]dress[EM],"[':sparkler:', ':dress:']"
bright dress,[EM]bright button[EM]dress[EM],"[':bright_button:', ':dress:']"
bright dress,[EM]sparkles[EM]dress[EM],"[':sparkles:', ':dress:']"
bright dress,[EM]bright button[EM]dress[EM]woman dancing[EM],"[':bright_button:', ':dress:', ':woman_dancing:']"
bright dress,[EM]sun[EM]artist palette[EM]dress[EM],"[':sun:', ':artist_palette:', ':dress:']"
bright dress,[EM]dress[EM]sparkles[EM],"[':dress:', ':sparkles:']"
bright dress,[EM]sun[EM]dress[EM],"[':sun:', ':dress:']"
bright dress,[EM]dress[EM]sparkles[EM],"[':dress:', ':sparkles:']"
bright room,[EM]sparkler[EM]school[EM],"[':sparkler:', ':school:']"
bright room,[EM]bright button[EM]men’s room[EM]women’s room[EM],"[':bright_button:', ':men’s_room:', ':women’s_room:']"
bright room,[EM]sparkles[EM]house[EM],"[':sparkles:', ':house:']"
bright room,[EM]light bulb[EM]candle[EM]house[EM],"[':light_bulb:', ':candle:', ':house:']"
bright room,[EM]sun[EM]school[EM],"[':sun:', ':school:']"
bright room,[EM]light bulb[EM]wedding[EM],"[':light_bulb:', ':wedding:']"
bright room,[EM]sun[EM],[':sun:']
bright room,[EM]sun[EM]school[EM],"[':sun:', ':school:']"
dark shadow,[EM]sunglasses[EM]person in suit levitating[EM],"[':sunglasses:', ':person_in_suit_levitating:']"
dark shadow,[EM]black circle[EM]busts in silhouette[EM],"[':black_circle:', ':busts_in_silhouette:']"
dark shadow,[EM]sunglasses[EM]sunglasses[EM]bust in silhouette[EM],"[':sunglasses:', ':sunglasses:', ':bust_in_silhouette:']"
dark shadow,[EM]cross mark[EM]light bulb[EM]person standing[EM],"[':cross_mark:', ':light_bulb:', ':person_standing:']"
dark shadow,[EM]new moon[EM]bust in silhouette[EM],"[':new_moon:', ':bust_in_silhouette:']"
dark shadow,[EM]new moon[EM],[':new_moon:']
dark shadow,[EM]new moon face[EM],[':new_moon_face:']
dark shadow,[EM]new moon[EM]men’s room[EM],"[':new_moon:', ':men’s_room:']"
dark day,[EM]sunglasses[EM]sunrise[EM],"[':sunglasses:', ':sunrise:']"
dark day,[EM]black circle[EM]tear-off calendar[EM],"[':black_circle:', ':tear-off_calendar:']"
dark day,[EM]tornado[EM]fog[EM]fog[EM],"[':tornado:', ':fog:', ':fog:']"
dark day,[EM]cloud with lightning and rain[EM]fog[EM]new moon[EM],"[':cloud_with_lightning_and_rain:', ':fog:', ':new_moon:']"
dark day,[EM]new moon[EM]tear-off calendar[EM],"[':new_moon:', ':tear-off_calendar:']"
dark day,[EM]smiling face with horns[EM]footprints[EM],"[':smiling_face_with_horns:', ':footprints:']"
dark day,[EM]new moon[EM],[':new_moon:']
dark day,[EM]new moon[EM]night with stars[EM],"[':new_moon:', ':night_with_stars:']"
dark glass,[EM]sunglasses[EM]glass of milk[EM],"[':sunglasses:', ':glass_of_milk:']"
dark glass,[EM]black circle[EM]glass of milk[EM],"[':black_circle:', ':glass_of_milk:']"
dark glass,[EM]sunglasses[EM]sunglasses[EM],"[':sunglasses:', ':sunglasses:']"
dark glass,[EM]sunglasses[EM],[':sunglasses:']
dark glass,[EM]new moon[EM]wine glass[EM],"[':new_moon:', ':wine_glass:']"
dark glass,[EM]angry face with horns[EM],[':angry_face_with_horns:']
dark glass,[EM]night with stars[EM],[':night_with_stars:']
dark glass,[EM]sunglasses[EM],[':sunglasses:']
dark undercurrent,[EM]sunglasses[EM]water wave[EM],"[':sunglasses:', ':water_wave:']"
dark undercurrent,[EM]black circle[EM]water wave[EM],"[':black_circle:', ':water_wave:']"
dark undercurrent,[EM]black circle[EM]cloud with lightning and rain[EM],"[':black_circle:', ':cloud_with_lightning_and_rain:']"
dark undercurrent,[EM]new moon[EM]water wave[EM]sweat droplets[EM],"[':new_moon:', ':water_wave:', ':sweat_droplets:']"
dark undercurrent,[EM]new moon[EM]no one under eighteen[EM]water wave[EM],"[':new_moon:', ':no_one_under_eighteen:', ':water_wave:']"
dark undercurrent,[EM]angry face with horns[EM]face screaming in fear[EM]fearful face[EM],"[':angry_face_with_horns:', ':face_screaming_in_fear:', ':fearful_face:']"
dark undercurrent,[EM]spade suit[EM]angry face with horns[EM],"[':spade_suit:', ':angry_face_with_horns:']"
dark undercurrent,[EM]smiling face with horns[EM]chart increasing[EM],"[':smiling_face_with_horns:', ':chart_increasing:']"
dark corner,[EM]sunglasses[EM]ballot box with ballot[EM],"[':sunglasses:', ':ballot_box_with_ballot:']"
dark corner,[EM]black circle[EM]brick[EM],"[':black_circle:', ':brick:']"
dark corner,[EM]flashlight[EM]prohibited[EM]prohibited[EM],"[':flashlight:', ':prohibited:', ':prohibited:']"
dark corner,[EM]new moon[EM]cross mark[EM]light bulb[EM],"[':new_moon:', ':cross_mark:', ':light_bulb:']"
dark corner,[EM]new moon[EM]school[EM]shushing face[EM]Japanese secret button[EM],"[':new_moon:', ':school:', ':shushing_face:', ':Japanese_secret_button:']"
dark corner,[EM]fearful face[EM]ogre[EM],"[':fearful_face:', ':ogre:']"
dark corner,[EM]new moon[EM]boomerang[EM],"[':new_moon:', ':boomerang:']"
dark corner,[EM]sunglasses[EM]house[EM],"[':sunglasses:', ':house:']"
dark purpose,[EM]sunglasses[EM]angry face with horns[EM],"[':sunglasses:', ':angry_face_with_horns:']"
dark purpose,[EM]black circle[EM]smiling face with horns[EM],"[':black_circle:', ':smiling_face_with_horns:']"
dark purpose,[EM]smiling face with horns[EM]smiling face with horns[EM]smiling face with horns[EM]smiling face with horns[EM],"[':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:']"
dark purpose,[EM]new moon[EM]face with crossed-out eyes[EM]skull[EM],"[':new_moon:', ':face_with_crossed-out_eyes:', ':skull:']"
dark purpose,[EM]smiling face with horns[EM]red question mark[EM]woman shrugging[EM],"[':smiling_face_with_horns:', ':red_question_mark:', ':woman_shrugging:']"
dark purpose,[EM]angry face with horns[EM]ogre[EM]goblin[EM]smirking face[EM],"[':angry_face_with_horns:', ':ogre:', ':goblin:', ':smirking_face:']"
dark purpose,[EM]angry face with horns[EM]smiling face with horns[EM],"[':angry_face_with_horns:', ':smiling_face_with_horns:']"
dark purpose,[EM]new moon[EM]smiling face with horns[EM]ogre[EM],"[':new_moon:', ':smiling_face_with_horns:', ':ogre:']"
right bank,[EM]backhand index pointing right[EM]national park[EM],"[':backhand_index_pointing_right:', ':national_park:']"
right bank,[EM]backhand index pointing right[EM]bank[EM],"[':backhand_index_pointing_right:', ':bank:']"
right bank,[EM]right arrow[EM]bank[EM]money bag[EM],"[':right_arrow:', ':bank:', ':money_bag:']"
right bank,[EM]check mark button[EM]bank[EM],"[':check_mark_button:', ':bank:']"
right bank,[EM]check mark[EM]bank[EM],"[':check_mark:', ':bank:']"
right bank,[EM]backhand index pointing right[EM]bank[EM],"[':backhand_index_pointing_right:', ':bank:']"
right bank,[EM]thumbs up[EM]bank[EM]money bag[EM]money bag[EM]money bag[EM],"[':thumbs_up:', ':bank:', ':money_bag:', ':money_bag:', ':money_bag:']"
right bank,[EM]thumbs up[EM]bank[EM]money with wings[EM]chart increasing with yen[EM],"[':thumbs_up:', ':bank:', ':money_with_wings:', ':chart_increasing_with_yen:']"
right hand,[EM]raised hand[EM]backhand index pointing right[EM],"[':raised_hand:', ':backhand_index_pointing_right:']"
right hand,[EM]backhand index pointing right[EM]hand with fingers splayed[EM],"[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']"
right hand,[EM]right arrow[EM]hand with fingers splayed[EM],"[':right_arrow:', ':hand_with_fingers_splayed:']"
right hand,[EM]backhand index pointing right[EM]hand with fingers splayed[EM],"[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']"
right hand,[EM]backhand index pointing right[EM]raised back of hand[EM],"[':backhand_index_pointing_right:', ':raised_back_of_hand:']"
right hand,[EM]backhand index pointing right[EM]waving hand[EM],"[':backhand_index_pointing_right:', ':waving_hand:']"
right hand,[EM]backhand index pointing right[EM]check mark[EM],"[':backhand_index_pointing_right:', ':check_mark:']"
right hand,[EM]palms up together[EM]raised back of hand[EM],"[':palms_up_together:', ':raised_back_of_hand:']"
right side,[EM]backhand index pointing right[EM],[':backhand_index_pointing_right:']
right side,[EM]backhand index pointing right[EM]backhand index pointing right[EM],"[':backhand_index_pointing_right:', ':backhand_index_pointing_right:']"
right side,[EM]right arrow[EM]woman tipping hand[EM],"[':right_arrow:', ':woman_tipping_hand:']"
right side,[EM]backhand index pointing right[EM]person standing[EM],"[':backhand_index_pointing_right:', ':person_standing:']"
right side,[EM]backhand index pointing right[EM],[':backhand_index_pointing_right:']
right side,[EM]backhand index pointing right[EM],[':backhand_index_pointing_right:']
right side,[EM]bust in silhouette[EM]backhand index pointing right[EM],"[':bust_in_silhouette:', ':backhand_index_pointing_right:']"
right side,[EM]right arrow[EM]people holding hands[EM]backhand index pointing left[EM],"[':right_arrow:', ':people_holding_hands:', ':backhand_index_pointing_left:']"
right decision,[EM]check mark[EM],[':check_mark:']
right decision,[EM]check mark[EM]light bulb[EM]woman[EM]thumbs up[EM],"[':check_mark:', ':light_bulb:', ':woman:', ':thumbs_up:']"
right decision,[EM]right arrow[EM]handshake[EM],"[':right_arrow:', ':handshake:']"
right decision,[EM]check mark button[EM]brain[EM],"[':check_mark_button:', ':brain:']"
right decision,[EM]thumbs up[EM],[':thumbs_up:']
right decision,[EM]check mark button[EM],[':check_mark_button:']
right decision,[EM]thinking face[EM]thought balloon[EM]light bulb[EM]chart increasing[EM],"[':thinking_face:', ':thought_balloon:', ':light_bulb:', ':chart_increasing:']"
right decision,[EM]thinking face[EM]check mark button[EM],"[':thinking_face:', ':check_mark_button:']"
right answer,[EM]check mark[EM],[':check_mark:']
right answer,[EM]check mark[EM]page facing up[EM]writing hand[EM],"[':check_mark:', ':page_facing_up:', ':writing_hand:']"
right answer,[EM]right arrow[EM]writing hand[EM]check mark button[EM],"[':right_arrow:', ':writing_hand:', ':check_mark_button:']"
